qid,vid,duration_bin,gt_duration_sec,audio_duration_sec,hard_center_hit10_2s,random25_center_hit10_2s_mean,hard_minus_random_center,cohort,p3_location_failure,replacement_status,replacement_unit,removed_random_token,added_hard_token,hard_peak_component_size,random25_top1_center_sec,replacement_top1_center_sec,random25_top1_width_gt_ratio,replacement_top1_width_gt_ratio,random25_best_gt_center_rank,replacement_best_gt_center_rank,random25_gt_center_density_top10,replacement_gt_center_density_top10
3VHpLxtd498_3,3VHpLxtd498,0-2s,1.0,242.0,0.0,0.3,-0.3,harmful,1,VALID_TOKEN_LEVEL,single_token; peak-level replacement not claimed,145,105,1,143.5,143.5,13.0,13.0,4,11,1,0
3VHpLxtd498_4,3VHpLxtd498,2-5s,3.0,242.0,0.0,0.6,-0.6,harmful,0,VALID_TOKEN_LEVEL,single_token; peak-level replacement not claimed,203,105,1,141.0,140.5,5.333333333333333,5.0,11,11,0,0
473wBEwC35M_1,473wBEwC35M,2-5s,2.0,300.0,0.0,0.3,-0.3,harmful,1,VALID_TOKEN_LEVEL,single_token; peak-level replacement not claimed,239,135,2,206.5,206.5,11.5,11.5,9,9,1,1
4UPOUGVMlEs_3,4UPOUGVMlEs,2-5s,2.0,84.0,0.0,0.9,-0.9,harmful,0,VALID_TOKEN_LEVEL,single_token; peak-level replacement not claimed,22,44,4,54.5,44.0,1.5,2.0,5,6,1,1
52IxrdTxGs4_2,52IxrdTxGs4,0-2s,1.0,213.0,0.0,0.9,-0.9,harmful,0,VALID_TOKEN_LEVEL,single_token; peak-level replacement not claimed,161,66,10,198.0,198.0,6.0,6.0,11,11,0,0
52IxrdTxGs4_4,52IxrdTxGs4,0-2s,1.0,213.0,0.0,0.9,-0.9,harmful,0,VALID_TOKEN_LEVEL,single_token; peak-level replacement not claimed,121,2,29,6.0,6.5,12.0,11.0,3,3,1,1
5G6b_QWL3nY_3,5G6b_QWL3nY,2-5s,4.0,246.0,0.0,1.0,-1.0,harmful,0,VALID_TOKEN_LEVEL,single_token; peak-level replacement not claimed,184,205,4,71.0,207.0,2.5,2.0,4,4,1,1
6Nvu6EcpdE8_2,6Nvu6EcpdE8,0-2s,1.0,211.0,0.0,0.4,-0.4,harmful,0,VALID_TOKEN_LEVEL,single_token; peak-level replacement not claimed,122,39,1,48.5,48.5,5.0,5.0,11,11,0,0
6Nvu6EcpdE8_3,6Nvu6EcpdE8,0-2s,1.0,211.0,0.0,0.3,-0.3,harmful,1,VALID_TOKEN_LEVEL,single_token; peak-level replacement not claimed,133,71,1,116.0,115.5,10.0,11.0,11,11,0,0
7JWHbs3gu1w_1,7JWHbs3gu1w,2-5s,2.0,296.0,0.0,0.6,-0.6,harmful,1,VALID_TOKEN_LEVEL,single_token; peak-level replacement not claimed,209,271,18,183.0,270.5,6.0,6.5,4,4,1,1
7P0N61TVOxE_3,7P0N61TVOxE,2-5s,2.0,299.0,0.0,0.3,-0.3,harmful,1,VALID_TOKEN_LEVEL,single_token; peak-level replacement not claimed,206,34,19,59.5,58.0,7.5,8.0,11,11,0,0
7P6lcyeDKNI_1,7P6lcyeDKNI,2-5s,2.0,98.0,0.0,0.3,-0.3,harmful,1,VALID_TOKEN_LEVEL,single_token; peak-level replacement not claimed,39,20,1,68.0,20.5,5.0,3.5,9,9,1,1
7XXSOzDQ2z0_3,7XXSOzDQ2z0,2-5s,4.0,297.0,0.0,0.1,-0.1,harmful,1,VALID_TOKEN_LEVEL,single_token; peak-level replacement not claimed,39,260,4,144.5,144.5,2.75,2.75,11,11,0,0
83j4GgHXTLE_1,83j4GgHXTLE,2-5s,3.0,220.0,0.0,0.3,-0.3,harmful,0,VALID_TOKEN_LEVEL,single_token; peak-level replacement not claimed,213,95,6,98.5,95.0,3.0,3.3333333333333335,11,11,0,0
8o-Y4QP8LWs_2,8o-Y4QP8LWs,2-5s,4.0,300.0,0.0,0.3,-0.3,harmful,1,VALID_TOKEN_LEVEL,single_token; peak-level replacement not claimed,216,42,8,54.5,53.0,2.75,3.0,11,11,0,0
9F3sutgYTvo_2,9F3sutgYTvo,2-5s,2.0,69.0,0.0,0.8,-0.8,harmful,0,VALID_TOKEN_LEVEL,single_token; peak-level replacement not claimed,51,18,7,10.0,10.0,6.0,6.0,11,3,0,1
9dLLsZVRSZI_1,9dLLsZVRSZI,0-2s,1.0,225.0,0.0,1.0,-1.0,harmful,0,VALID_TOKEN_LEVEL,single_token; peak-level replacement not claimed,112,190,1,118.0,118.0,4.0,4.0,1,1,1,1
9ucb5HYO8ps_2,9ucb5HYO8ps,2-5s,2.0,238.0,0.0,1.0,-1.0,harmful,0,VALID_TOKEN_LEVEL,single_token; peak-level replacement not claimed,227,17,43,17.0,16.0,5.0,5.0,6,11,1,0
9vZDsGjyh5M_1,9vZDsGjyh5M,2-5s,2.0,117.0,0.0,0.9,-0.9,harmful,0,VALID_TOKEN_LEVEL,single_token; peak-level replacement not claimed,35,50,1,77.0,77.0,2.0,2.0,11,11,0,0
9z2OwpftxUE_2,9z2OwpftxUE,2-5s,2.0,208.0,0.0,0.5,-0.5,harmful,1,VALID_TOKEN_LEVEL,single_token; peak-level replacement not claimed,97,10,1,10.5,10.0,9.5,9.0,7,7,1,1
AtkD-3GjXMw_1,AtkD-3GjXMw,2-5s,2.0,132.0,0.0,0.9,-0.9,harmful,0,VALID_TOKEN_LEVEL,single_token; peak-level replacement not claimed,70,115,2,1.5,1.5,1.5,1.5,1,1,1,1
Axd__X2rixk_1,Axd__X2rixk,2-5s,2.0,267.0,0.0,0.2,-0.2,harmful,1,VALID_TOKEN_LEVEL,single_token; peak-level replacement not claimed,241,14,39,15.0,14.0,5.0,5.0,11,11,0,0
BA-lFjpzad4_2,BA-lFjpzad4,0-2s,1.0,64.0,0.0,1.0,-1.0,harmful,0,VALID_TOKEN_LEVEL,single_token; peak-level replacement not claimed,41,0,11,4.0,3.0,4.0,4.0,2,2,1,1
BDpU2Qh77NE_1,BDpU2Qh77NE,0-2s,1.0,248.0,0.0,0.8,-0.8,harmful,1,VALID_TOKEN_LEVEL,single_token; peak-level replacement not claimed,176,26,9,21.5,23.5,15.0,15.0,11,11,0,0
BL8ksJ0sTXk_3,BL8ksJ0sTXk,0-2s,1.0,299.0,0.0,0.8,-0.8,harmful,1,VALID_TOKEN_LEVEL,single_token; peak-level replacement not claimed,124,3,2,86.0,11.5,6.0,11.0,1,2,1,1
BMayJId0X1s_1,BMayJId0X1s,2-5s,3.0,193.0,0.0,1.0,-1.0,harmful,0,VALID_TOKEN_LEVEL,single_token; peak-level replacement not claimed,152,172,1,113.0,114.5,4.0,4.333333333333333,2,3,2,2
CO6-i8NLbeo_1,CO6-i8NLbeo,2-5s,4.0,187.0,0.0,0.1,-0.1,harmful,0,VALID_TOKEN_LEVEL,single_token; peak-level replacement not claimed,49,0,10,74.5,5.0,2.25,2.5,11,11,0,0
CefFMA3klxk_1,CefFMA3klxk,0-2s,1.0,299.0,0.0,0.1,-0.1,harmful,1,VALID_TOKEN_LEVEL,single_token; peak-level replacement not claimed,269,131,17,121.5,124.5,9.0,9.0,2,11,1,0
CefFMA3klxk_3,CefFMA3klxk,2-5s,2.0,299.0,0.0,0.8,-0.8,harmful,1,VALID_TOKEN_LEVEL,single_token; peak-level replacement not claimed,200,111,38,116.5,111.5,5.5,6.5,11,11,0,0
CvNAwby6Xos_1,CvNAwby6Xos,2-5s,4.0,299.0,0.0,0.9,-0.9,harmful,1,VALID_TOKEN_LEVEL,single_token; peak-level replacement not claimed,245,81,3,97.5,57.0,1.75,2.0,2,1,1,1
Dn3buZWMzwY_4,Dn3buZWMzwY,2-5s,2.0,99.0,0.0,0.8,-0.8,harmful,0,VALID_TOKEN_LEVEL,single_token; peak-level replacement not claimed,59,17,5,25.0,24.0,8.0,9.0,1,1,3,2
E3D_z0aoUEg_4,E3D_z0aoUEg,2-5s,3.0,158.0,0.0,1.0,-1.0,harmful,0,VALID_TOKEN_LEVEL,single_token; peak-level replacement not claimed,121,146,6,153.0,153.0,2.0,2.0,3,3,1,1
ECw5Yf7QoMo_3,ECw5Yf7QoMo,2-5s,2.0,299.0,0.0,0.1,-0.1,harmful,1,VALID_TOKEN_LEVEL,single_token; peak-level replacement not claimed,106,4,26,6.5,6.5,5.5,5.5,11,11,0,0
EcihYbSlyck_3,EcihYbSlyck,2-5s,2.0,157.0,0.0,0.3,-0.3,harmful,1,VALID_TOKEN_LEVEL,single_token; peak-level replacement not claimed,106,16,6,46.0,59.0,8.0,6.0,8,9,1,1
ErxgH5g3Kx0_2,ErxgH5g3Kx0,2-5s,2.0,210.0,0.0,1.0,-1.0,harmful,0,VALID_TOKEN_LEVEL,single_token; peak-level replacement not claimed,120,97,30,74.0,95.0,3.0,3.0,6,7,2,2
FXdoNvmrYxo_2,FXdoNvmrYxo,2-5s,4.0,299.0,0.0,0.9,-0.9,harmful,0,VALID_TOKEN_LEVEL,single_token; peak-level replacement not claimed,124,107,7,97.0,103.0,2.0,2.5,2,1,1,2
GGgQR7aIofY_3,GGgQR7aIofY,2-5s,3.0,168.0,0.0,0.6,-0.6,harmful,1,VALID_TOKEN_LEVEL,single_token; peak-level replacement not claimed,74,59,20,65.5,65.5,2.3333333333333335,2.3333333333333335,7,3,1,2
GOD8Bt5LfDE_2,GOD8Bt5LfDE,2-5s,3.0,129.0,0.0,0.2,-0.2,harmful,1,VALID_TOKEN_LEVEL,single_token; peak-level replacement not claimed,107,120,1,112.5,112.5,3.0,3.0,11,11,0,0
Gkb4f6yodPE_2,Gkb4f6yodPE,2-5s,3.0,299.0,0.0,0.8,-0.8,harmful,1,VALID_TOKEN_LEVEL,single_token; peak-level replacement not claimed,6,296,5,271.0,273.0,4.666666666666667,4.0,11,11,0,0
Hdxfbpnd2-8_3,Hdxfbpnd2-8,2-5s,2.0,299.0,0.0,0.9,-0.9,harmful,1,VALID_TOKEN_LEVEL,single_token; peak-level replacement not claimed,130,0,44,4.0,4.0,4.0,4.0,11,2,0,1
Hdxfbpnd2-8_4,Hdxfbpnd2-8,0-2s,1.0,299.0,0.0,0.3,-0.3,harmful,0,VALID_TOKEN_LEVEL,single_token; peak-level replacement not claimed,130,53,2,214.5,49.5,11.0,9.0,6,7,1,1
I4HpYGMMsz4_1,I4HpYGMMsz4,2-5s,4.0,238.0,0.0,0.1,-0.1,harmful,1,VALID_TOKEN_LEVEL,single_token; peak-level replacement not claimed,26,9,35,28.5,25.0,10.25,9.0,11,11,0,0
IJ6pm5Kns8A_1,IJ6pm5Kns8A,2-5s,2.0,209.0,0.0,0.2,-0.2,harmful,1,VALID_TOKEN_LEVEL,single_token; peak-level replacement not claimed,73,83,5,79.0,83.0,4.0,4.0,11,11,0,0
IsUG5SKWNZA_2,IsUG5SKWNZA,2-5s,2.0,134.0,0.0,0.2,-0.2,harmful,0,VALID_TOKEN_LEVEL,single_token; peak-level replacement not claimed,33,52,1,50.5,51.0,2.5,2.0,11,11,0,0
ItS07xtdi4s_5,ItS07xtdi4s,0-2s,1.0,160.0,0.0,0.4,-0.4,harmful,0,VALID_TOKEN_LEVEL,single_token; peak-level replacement not claimed,51,82,2,60.5,79.5,5.0,7.0,9,11,1,0
JZloTOdIY_c_3,JZloTOdIY_c,2-5s,3.0,88.0,0.0,0.2,-0.2,harmful,1,VALID_TOKEN_LEVEL,single_token; peak-level replacement not claimed,18,12,4,8.5,9.0,3.0,3.3333333333333335,11,4,0,1
JmWaRt8-u0s_1,JmWaRt8-u0s,2-5s,4.0,300.0,0.0,0.4,-0.4,harmful,1,VALID_TOKEN_LEVEL,single_token; peak-level replacement not claimed,208,32,26,16.0,17.0,5.0,5.0,2,2,1,1
K-7Y8yhcUiw_3,K-7Y8yhcUiw,2-5s,3.0,85.0,0.0,0.5,-0.5,harmful,1,VALID_TOKEN_LEVEL,single_token; peak-level replacement not claimed,40,82,2,81.5,80.5,1.0,1.0,11,11,0,0
Kel-hfZ_9h8_4,Kel-hfZ_9h8,0-2s,1.0,147.0,0.0,0.6,-0.6,harmful,1,VALID_TOKEN_LEVEL,single_token; peak-level replacement not claimed,36,116,3,47.5,47.5,3.0,3.0,11,11,0,0
KnsKf9KoNds_1,KnsKf9KoNds,0-2s,1.0,299.0,0.0,0.4,-0.4,harmful,1,VALID_TOKEN_LEVEL,single_token; peak-level replacement not claimed,190,0,3,5.5,2.0,7.0,4.0,2,2,1,1
KvrcRMfFzOE_1,KvrcRMfFzOE,2-5s,4.0,186.0,0.0,1.0,-1.0,harmful,0,VALID_TOKEN_LEVEL,single_token; peak-level replacement not claimed,136,183,5,10.5,10.0,1.25,1.5,8,8,1,1
LCwSUVuTyvg_2,LCwSUVuTyvg,2-5s,4.0,300.0,0.0,0.4,-0.4,harmful,0,VALID_TOKEN_LEVEL,single_token; peak-level replacement not claimed,275,32,35,21.5,24.0,2.75,3.0,11,5,0,1
LP_DzNUkAKY_1,LP_DzNUkAKY,0-2s,1.0,300.0,0.0,1.0,-1.0,harmful,0,VALID_TOKEN_LEVEL,single_token; peak-level replacement not claimed,145,122,3,3.0,3.0,6.0,6.0,1,1,1,1
LP_DzNUkAKY_2,LP_DzNUkAKY,2-5s,4.0,300.0,0.0,1.0,-1.0,harmful,0,VALID_TOKEN_LEVEL,single_token; peak-level replacement not claimed,201,122,2,216.5,215.5,3.25,3.25,4,1,2,3
LVvS3s9dFKw_2,LVvS3s9dFKw,2-5s,3.0,226.0,0.0,0.5,-0.5,harmful,1,VALID_TOKEN_LEVEL,single_token; peak-level replacement not claimed,66,173,3,97.5,171.0,3.0,3.3333333333333335,11,9,0,1
LvMA1Wcgu3w_1,LvMA1Wcgu3w,2-5s,2.0,282.0,0.0,1.0,-1.0,harmful,0,VALID_TOKEN_LEVEL,single_token; peak-level replacement not claimed,149,94,1,154.5,154.0,5.5,5.0,1,1,2,2
MkbP_8zJwXU_2,MkbP_8zJwXU,2-5s,2.0,99.0,0.0,0.9,-0.9,harmful,0,VALID_TOKEN_LEVEL,single_token; peak-level replacement not claimed,59,0,12,4.5,2.5,2.5,2.5,6,5,1,1
Ni3dIj90Oa4_2,Ni3dIj90Oa4,2-5s,3.0,299.0,0.0,0.2,-0.2,harmful,1,VALID_TOKEN_LEVEL,single_token; peak-level replacement not claimed,102,21,18,11.0,20.0,5.333333333333333,7.333333333333333,1,11,1,0
NlKlRKz8OKI_2,NlKlRKz8OKI,2-5s,2.0,299.0,0.0,0.9,-0.9,harmful,0,VALID_TOKEN_LEVEL,single_token; peak-level replacement not claimed,46,244,1,190.0,189.5,5.0,4.5,1,1,1,1
ObWjGBJF_94_1,ObWjGBJF_94,2-5s,2.0,299.0,0.0,0.1,-0.1,harmful,1,VALID_TOKEN_LEVEL,single_token; peak-level replacement not claimed,20,67,7,9.5,9.0,7.5,7.0,11,11,0,0
OpiWMltpj44_1,OpiWMltpj44,2-5s,3.0,77.0,0.0,0.9,-0.9,harmful,0,VALID_TOKEN_LEVEL,single_token; peak-level replacement not claimed,49,41,7,21.0,21.0,2.6666666666666665,2.6666666666666665,6,6,1,1
PYP-r0nvbFk_2,PYP-r0nvbFk,0-2s,1.0,121.0,0.0,0.1,-0.1,harmful,1,VALID_TOKEN_LEVEL,single_token; peak-level replacement not claimed,104,43,1,49.0,49.0,4.0,4.0,11,11,0,0
PYP-r0nvbFk_3,PYP-r0nvbFk,0-2s,1.0,121.0,0.0,0.9,-0.9,harmful,0,VALID_TOKEN_LEVEL,single_token; peak-level replacement not claimed,96,28,2,48.5,48.5,5.0,5.0,4,4,1,1
QHfyKaOHSz4_2,QHfyKaOHSz4,2-5s,3.0,82.0,0.0,0.7,-0.7,harmful,1,VALID_TOKEN_LEVEL,single_token; peak-level replacement not claimed,31,47,1,59.0,42.5,1.3333333333333333,1.6666666666666667,11,11,0,0
QKHpSAAjakY_3,QKHpSAAjakY,2-5s,2.0,94.0,0.0,0.4,-0.4,harmful,0,VALID_TOKEN_LEVEL,single_token; peak-level replacement not claimed,51,78,7,58.5,78.0,2.5,3.0,4,1,1,1
QOmV7O9mFwg_2,QOmV7O9mFwg,2-5s,3.0,260.0,0.0,0.6,-0.6,harmful,0,VALID_TOKEN_LEVEL,single_token; peak-level replacement not claimed,21,45,2,210.5,50.0,6.333333333333333,6.0,11,11,0,0
QRtuOWWya30_1,QRtuOWWya30,2-5s,2.0,299.0,0.0,1.0,-1.0,harmful,1,VALID_TOKEN_LEVEL,single_token; peak-level replacement not claimed,124,3,10,9.0,8.0,8.0,8.0,1,4,3,2
QvATUKXYFBs_2,QvATUKXYFBs,2-5s,3.0,119.0,0.0,0.8,-0.8,harmful,1,VALID_TOKEN_LEVEL,single_token; peak-level replacement not claimed,70,26,14,28.5,28.5,1.0,1.0,9,9,1,1
R4fXcbWFhJg_2,R4fXcbWFhJg,2-5s,3.0,133.0,0.0,0.6,-0.6,harmful,0,VALID_TOKEN_LEVEL,single_token; peak-level replacement not claimed,0,9,19,41.0,10.0,1.3333333333333333,3.3333333333333335,1,4,2,2
RfGapDlAYoQ_1,RfGapDlAYoQ,2-5s,3.0,150.0,0.0,0.8,-0.8,harmful,0,VALID_TOKEN_LEVEL,single_token; peak-level replacement not claimed,62,114,6,115.5,115.5,1.6666666666666667,1.6666666666666667,4,4,2,1
RfGapDlAYoQ_2,RfGapDlAYoQ,0-2s,1.0,150.0,0.0,0.1,-0.1,harmful,1,VALID_TOKEN_LEVEL,single_token; peak-level replacement not claimed,127,7,6,116.0,116.0,6.0,6.0,11,11,0,0
RfGapDlAYoQ_3,RfGapDlAYoQ,2-5s,4.0,150.0,0.0,0.3,-0.3,harmful,1,VALID_TOKEN_LEVEL,single_token; peak-level replacement not claimed,124,20,9,138.5,15.0,1.75,1.5,8,8,1,1
Rp4Ct_TQvAM_2,Rp4Ct_TQvAM,2-5s,2.0,299.0,0.0,0.3,-0.3,harmful,1,VALID_TOKEN_LEVEL,single_token; peak-level replacement not claimed,254,277,23,277.0,277.0,6.0,6.0,11,11,0,0
RrmBGjJqlEo_1,RrmBGjJqlEo,2-5s,2.0,300.0,0.0,1.0,-1.0,harmful,0,VALID_TOKEN_LEVEL,single_token; peak-level replacement not claimed,55,95,17,116.0,116.0,5.0,5.0,3,3,2,3
T9_ep-3BZDY_2,T9_ep-3BZDY,0-2s,1.0,299.0,0.0,0.2,-0.2,harmful,1,VALID_TOKEN_LEVEL,single_token; peak-level replacement not claimed,172,23,10,28.5,27.5,21.0,23.0,11,11,0,0
U3CAjsm1sec_1,U3CAjsm1sec,2-5s,4.0,89.0,0.0,0.1,-0.1,harmful,1,VALID_TOKEN_LEVEL,single_token; peak-level replacement not claimed,10,3,5,15.5,2.5,2.75,1.25,11,11,0,0
U90e2P9jy30_1,U90e2P9jy30,2-5s,2.0,300.0,0.0,0.9,-0.9,harmful,0,VALID_TOKEN_LEVEL,single_token; peak-level replacement not claimed,263,144,32,272.5,272.0,5.5,5.0,5,6,2,2
UE3XnVFodMI_1,UE3XnVFodMI,2-5s,4.0,249.0,0.0,0.2,-0.2,harmful,1,VALID_TOKEN_LEVEL,single_token; peak-level replacement not claimed,68,4,18,188.0,4.5,11.0,1.75,11,11,0,0
V4PLSw_WzVw_1,V4PLSw_WzVw,2-5s,4.0,82.0,0.0,0.5,-0.5,harmful,0,VALID_TOKEN_LEVEL,single_token; peak-level replacement not claimed,76,77,14,79.0,77.5,0.5,0.75,1,11,1,0
V8A0VRGdgwM_2,V8A0VRGdgwM,2-5s,2.0,77.0,0.0,0.6,-0.6,harmful,1,VALID_TOKEN_LEVEL,single_token; peak-level replacement not claimed,44,13,2,15.0,15.0,2.0,2.0,11,11,0,0
VZLZ08k3YeA_3,VZLZ08k3YeA,0-2s,1.0,142.0,0.0,0.5,-0.5,harmful,1,VALID_TOKEN_LEVEL,single_token; peak-level replacement not claimed,83,2,4,14.5,2.0,3.0,4.0,2,3,1,1
VjSEIRnLAh8_4,VjSEIRnLAh8,2-5s,2.0,300.0,0.0,0.2,-0.2,harmful,1,VALID_TOKEN_LEVEL,single_token; peak-level replacement not claimed,244,6,43,19.0,16.0,14.0,13.0,11,11,0,0
WUpeplQr3A4_1,WUpeplQr3A4,2-5s,2.0,300.0,0.0,0.3,-0.3,harmful,0,VALID_TOKEN_LEVEL,single_token; peak-level replacement not claimed,102,18,12,11.5,13.0,4.5,4.0,7,11,2,0
WUyeFOyKIg0_1,WUyeFOyKIg0,2-5s,2.0,299.0,0.0,0.3,-0.3,harmful,1,VALID_TOKEN_LEVEL,single_token; peak-level replacement not claimed,271,104,2,226.5,227.5,3.5,3.5,11,11,0,0
ZBtgrP4vU_w_2,ZBtgrP4vU_w,2-5s,2.0,300.0,0.0,0.1,-0.1,harmful,1,VALID_TOKEN_LEVEL,single_token; peak-level replacement not claimed,145,115,6,6.5,6.0,5.5,5.0,1,1,1,1
_YS5uKWoB6g_2,_YS5uKWoB6g,0-2s,1.0,237.0,0.0,0.6,-0.6,harmful,1,VALID_TOKEN_LEVEL,single_token; peak-level replacement not claimed,151,0,13,58.0,13.5,18.0,17.0,2,1,1,1
_oKXrY5Ff0g_3,_oKXrY5Ff0g,2-5s,2.0,82.0,0.0,0.7,-0.7,harmful,1,VALID_TOKEN_LEVEL,single_token; peak-level replacement not claimed,29,6,2,70.0,6.5,10.0,1.5,1,2,1,1
aMhu5eMQAsI_3,aMhu5eMQAsI,2-5s,3.0,170.0,0.0,0.9,-0.9,harmful,1,VALID_TOKEN_LEVEL,single_token; peak-level replacement not claimed,34,29,22,24.5,25.0,3.0,3.3333333333333335,2,2,1,1
aZAXO2WZn84_5,aZAXO2WZn84,0-2s,1.0,300.0,0.0,0.6,-0.6,harmful,0,VALID_TOKEN_LEVEL,single_token; peak-level replacement not claimed,227,16,21,7.0,8.5,14.0,15.0,11,11,0,0
bUTOsLXYyxg_1,bUTOsLXYyxg,2-5s,2.0,300.0,0.0,0.3,-0.3,harmful,1,VALID_TOKEN_LEVEL,single_token; peak-level replacement not claimed,78,10,7,26.5,23.5,5.5,5.5,1,11,1,0
cPiSd5nJLrI_1,cPiSd5nJLrI,2-5s,2.0,60.0,0.0,0.8,-0.8,harmful,1,VALID_TOKEN_LEVEL,single_token; peak-level replacement not claimed,18,2,8,8.0,7.0,6.0,6.0,2,2,4,3
cz0FSQDVBMw_2,cz0FSQDVBMw,0-2s,1.0,248.0,0.0,0.2,-0.2,harmful,1,VALID_TOKEN_LEVEL,single_token; peak-level replacement not claimed,36,138,6,138.0,138.5,8.0,7.0,11,11,0,0
dkiwn2FdDVw_4,dkiwn2FdDVw,2-5s,3.0,300.0,0.0,0.6,-0.6,harmful,1,VALID_TOKEN_LEVEL,single_token; peak-level replacement not claimed,14,68,20,66.5,66.5,4.333333333333333,4.333333333333333,7,7,1,1
e2rScj9UyMs_2,e2rScj9UyMs,0-2s,1.0,225.0,0.0,0.3,-0.3,harmful,0,VALID_TOKEN_LEVEL,single_token; peak-level replacement not claimed,2,224,1,160.0,221.0,14.0,8.0,1,11,1,0
eRU-rABp8nk_2,eRU-rABp8nk,2-5s,2.0,299.0,0.0,0.9,-0.9,harmful,0,VALID_TOKEN_LEVEL,single_token; peak-level replacement not claimed,104,97,2,242.5,242.5,4.5,4.5,11,11,0,0
eUecAF626A8_2,eUecAF626A8,2-5s,3.0,299.0,0.0,0.4,-0.4,harmful,1,VALID_TOKEN_LEVEL,single_token; peak-level replacement not claimed,125,51,41,54.5,52.0,3.0,3.3333333333333335,11,11,0,0
