qid,duration_bin,cohort,p3_location_failure,labels,evidence,native_status,qd_alignment,human_review_status
2RjqBRzmxaM_4,2-5s,control,0,NEAR_GT_SCALE_LEAKAGE;DECODER_ATTRACTION,strong hard peak is adjacent/moderately near or overlaps GT±2s; full-access top-1 decoder reference moved closer to hard peak,BLOCKED,QD_HARD_FAVORED,UNLABELED
2RjqBRzmxaM_5,2-5s,control,0,DECODER_ATTRACTION,full-access top-1 decoder reference moved closer to hard peak,BLOCKED,QD_HARD_FAVORED,UNLABELED
2a6GNu6uCDE_3,2-5s,control,0,UNRESOLVED,no independently supported mechanism label,BLOCKED,QD_GT_FAVORED,UNLABELED
3RultJjvTWI_2,0-2s,harmful,1,DECODER_ATTRACTION,full-access top-1 decoder reference moved closer to hard peak,BLOCKED,QD_HARD_FAVORED,UNLABELED
3VHpLxtd498_1,0-2s,control,1,SEMANTIC_COMPETITOR,native MS-CLAP hard window scored above matched GT window,VALID,QD_TIE,UNLABELED
3VHpLxtd498_3,0-2s,harmful,1,MODEL_SPECIFIC_FALSE_POSITIVE,"native GT window scored above hard, while QD final center evidence favored hard",VALID,QD_HARD_FAVORED,UNLABELED
3VHpLxtd498_4,2-5s,harmful,0,SEMANTIC_COMPETITOR,native MS-CLAP hard window scored above matched GT window,VALID,QD_TIE,UNLABELED
3qTL7QRk-tg_4,2-5s,control,0,UNRESOLVED,no independently supported mechanism label,BLOCKED,QD_GT_FAVORED,UNLABELED
3rna9zo5ZOs_2,2-5s,control,0,NEAR_GT_SCALE_LEAKAGE,strong hard peak is adjacent/moderately near or overlaps GT±2s,BLOCKED,QD_GT_FAVORED,UNLABELED
3xDZ-kdGE3o_2,2-5s,control,0,UNRESOLVED,no independently supported mechanism label,BLOCKED,QD_GT_FAVORED,UNLABELED
473wBEwC35M_1,2-5s,harmful,1,DECODER_ATTRACTION,full-access top-1 decoder reference moved closer to hard peak,BLOCKED,QD_GT_FAVORED,UNLABELED
4CAMv5nlr-0_1,2-5s,control,0,NEAR_GT_SCALE_LEAKAGE,strong hard peak is adjacent/moderately near or overlaps GT±2s,BLOCKED,QD_HARD_FAVORED,UNLABELED
4CAMv5nlr-0_2,2-5s,control,0,NEAR_GT_SCALE_LEAKAGE,strong hard peak is adjacent/moderately near or overlaps GT±2s,BLOCKED,QD_GT_FAVORED,UNLABELED
4IeDBwyQ9ZQ_4,2-5s,control,0,UNRESOLVED,no independently supported mechanism label,BLOCKED,QD_GT_FAVORED,UNLABELED
4UPOUGVMlEs_3,2-5s,harmful,0,DECODER_ATTRACTION,full-access top-1 decoder reference moved closer to hard peak,BLOCKED,QD_HARD_FAVORED,UNLABELED
4_DjmCg8Ra8_1,0-2s,control,1,UNRESOLVED,no independently supported mechanism label,BLOCKED,QD_TIE,UNLABELED
4ftDFi4684Y_1,2-5s,control,1,NEAR_GT_SCALE_LEAKAGE,strong hard peak is adjacent/moderately near or overlaps GT±2s,BLOCKED,QD_TIE,UNLABELED
4fz0-Kx2oNs_1,2-5s,control,1,NEAR_GT_SCALE_LEAKAGE;DECODER_ATTRACTION,strong hard peak is adjacent/moderately near or overlaps GT±2s; full-access top-1 decoder reference moved closer to hard peak,BLOCKED,QD_HARD_FAVORED,UNLABELED
4fz0-Kx2oNs_3,2-5s,control,0,DECODER_ATTRACTION,full-access top-1 decoder reference moved closer to hard peak,BLOCKED,QD_GT_FAVORED,UNLABELED
52IxrdTxGs4_2,0-2s,harmful,0,DECODER_ATTRACTION,full-access top-1 decoder reference moved closer to hard peak,BLOCKED,QD_HARD_FAVORED,UNLABELED
52IxrdTxGs4_3,2-5s,control,1,DECODER_ATTRACTION,full-access top-1 decoder reference moved closer to hard peak,BLOCKED,QD_HARD_FAVORED,UNLABELED
52IxrdTxGs4_4,0-2s,harmful,0,DECODER_ATTRACTION,full-access top-1 decoder reference moved closer to hard peak,BLOCKED,QD_GT_FAVORED,UNLABELED
5G6b_QWL3nY_3,2-5s,harmful,0,DECODER_ATTRACTION,full-access top-1 decoder reference moved closer to hard peak,VALID,QD_GT_FAVORED,UNLABELED
5G6b_QWL3nY_4,2-5s,control,1,SEMANTIC_COMPETITOR;DECODER_ATTRACTION,native MS-CLAP hard window scored above matched GT window; full-access top-1 decoder reference moved closer to hard peak,VALID,QD_TIE,UNLABELED
5t6tSW0yT40_4,0-2s,control,1,DECODER_ATTRACTION,full-access top-1 decoder reference moved closer to hard peak,BLOCKED,QD_TIE,UNLABELED
67BsqRkh-dU_2,2-5s,control,0,DECODER_ATTRACTION,full-access top-1 decoder reference moved closer to hard peak,BLOCKED,QD_HARD_FAVORED,UNLABELED
6Nvu6EcpdE8_2,0-2s,harmful,0,NEAR_GT_SCALE_LEAKAGE,strong hard peak is adjacent/moderately near or overlaps GT±2s,VALID,QD_GT_FAVORED,UNLABELED
6Nvu6EcpdE8_3,0-2s,harmful,1,MODEL_SPECIFIC_FALSE_POSITIVE,"native GT window scored above hard, while QD final center evidence favored hard",VALID,QD_HARD_FAVORED,UNLABELED
6OlHuvJR_Dk_1,2-5s,control,0,NEAR_GT_SCALE_LEAKAGE,strong hard peak is adjacent/moderately near or overlaps GT±2s,BLOCKED,QD_GT_FAVORED,UNLABELED
6ZwYgzcN6Is_2,2-5s,control,0,UNRESOLVED,no independently supported mechanism label,BLOCKED,QD_GT_FAVORED,UNLABELED
6pssFJ0m-kU_3,2-5s,control,0,UNRESOLVED,no independently supported mechanism label,BLOCKED,QD_HARD_FAVORED,UNLABELED
7JWHbs3gu1w_1,2-5s,harmful,1,DECODER_ATTRACTION,full-access top-1 decoder reference moved closer to hard peak,VALID,QD_TIE,UNLABELED
7JWHbs3gu1w_2,2-5s,control,0,MODEL_SPECIFIC_FALSE_POSITIVE;DECODER_ATTRACTION,"native GT window scored above hard, while QD final center evidence favored hard; full-access top-1 decoder reference moved closer to hard peak",VALID,QD_HARD_FAVORED,UNLABELED
7P0N61TVOxE_3,2-5s,harmful,1,DECODER_ATTRACTION,full-access top-1 decoder reference moved closer to hard peak,BLOCKED,QD_TIE,UNLABELED
7P6lcyeDKNI_1,2-5s,harmful,1,UNRESOLVED,no independently supported mechanism label,BLOCKED,QD_HARD_FAVORED,UNLABELED
7XXSOzDQ2z0_2,2-5s,control,1,NEAR_GT_SCALE_LEAKAGE;DECODER_ATTRACTION,strong hard peak is adjacent/moderately near or overlaps GT±2s; full-access top-1 decoder reference moved closer to hard peak,BLOCKED,QD_TIE,UNLABELED
7XXSOzDQ2z0_3,2-5s,harmful,1,UNRESOLVED,no independently supported mechanism label,BLOCKED,QD_TIE,UNLABELED
7bO0AJI-ihs_1,2-5s,control,0,NEAR_GT_SCALE_LEAKAGE;DECODER_ATTRACTION,strong hard peak is adjacent/moderately near or overlaps GT±2s; full-access top-1 decoder reference moved closer to hard peak,BLOCKED,QD_HARD_FAVORED,UNLABELED
7bO0AJI-ihs_2,2-5s,control,0,NEAR_GT_SCALE_LEAKAGE,strong hard peak is adjacent/moderately near or overlaps GT±2s,BLOCKED,QD_GT_FAVORED,UNLABELED
7upINC4seBw_1,2-5s,control,0,UNRESOLVED,no independently supported mechanism label,BLOCKED,QD_GT_FAVORED,UNLABELED
83j4GgHXTLE_1,2-5s,harmful,0,DECODER_ATTRACTION,full-access top-1 decoder reference moved closer to hard peak,BLOCKED,QD_HARD_FAVORED,UNLABELED
8OTd45_6cvY_2,2-5s,control,0,NEAR_GT_SCALE_LEAKAGE,strong hard peak is adjacent/moderately near or overlaps GT±2s,BLOCKED,QD_GT_FAVORED,UNLABELED
8OTd45_6cvY_4,2-5s,control,0,UNRESOLVED,no independently supported mechanism label,BLOCKED,QD_GT_FAVORED,UNLABELED
8b9z7N25DmU_1,2-5s,control,0,NEAR_GT_SCALE_LEAKAGE,strong hard peak is adjacent/moderately near or overlaps GT±2s,BLOCKED,QD_GT_FAVORED,UNLABELED
8o-Y4QP8LWs_2,2-5s,harmful,1,NEAR_GT_SCALE_LEAKAGE,strong hard peak is adjacent/moderately near or overlaps GT±2s,BLOCKED,QD_TIE,UNLABELED
8ycflE3dIHw_2,2-5s,control,0,UNRESOLVED,no independently supported mechanism label,BLOCKED,QD_GT_FAVORED,UNLABELED
9F3sutgYTvo_1,2-5s,control,0,NEAR_GT_SCALE_LEAKAGE,strong hard peak is adjacent/moderately near or overlaps GT±2s,BLOCKED,QD_GT_FAVORED,UNLABELED
9F3sutgYTvo_2,2-5s,harmful,0,UNRESOLVED,no independently supported mechanism label,BLOCKED,QD_HARD_FAVORED,UNLABELED
9dLLsZVRSZI_1,0-2s,harmful,0,NEAR_GT_SCALE_LEAKAGE,strong hard peak is adjacent/moderately near or overlaps GT±2s,VALID,QD_TIE,UNLABELED
9ucb5HYO8ps_2,2-5s,harmful,0,NEAR_GT_SCALE_LEAKAGE,strong hard peak is adjacent/moderately near or overlaps GT±2s,BLOCKED,QD_GT_FAVORED,UNLABELED
9vZDsGjyh5M_1,2-5s,harmful,0,UNRESOLVED,no independently supported mechanism label,BLOCKED,QD_GT_FAVORED,UNLABELED
9z2OwpftxUE_2,2-5s,harmful,1,DECODER_ATTRACTION,full-access top-1 decoder reference moved closer to hard peak,BLOCKED,QD_HARD_FAVORED,UNLABELED
A61Mry8zBwE_1,0-2s,control,1,DECODER_ATTRACTION,full-access top-1 decoder reference moved closer to hard peak,BLOCKED,QD_HARD_FAVORED,UNLABELED
AI1OweEW8C0_1,2-5s,control,1,NEAR_GT_SCALE_LEAKAGE;DECODER_ATTRACTION,strong hard peak is adjacent/moderately near or overlaps GT±2s; full-access top-1 decoder reference moved closer to hard peak,BLOCKED,QD_TIE,UNLABELED
AI1OweEW8C0_2,2-5s,control,1,DECODER_ATTRACTION,full-access top-1 decoder reference moved closer to hard peak,BLOCKED,QD_HARD_FAVORED,UNLABELED
AKHZMg9ba30_2,2-5s,control,1,DECODER_ATTRACTION,full-access top-1 decoder reference moved closer to hard peak,BLOCKED,QD_HARD_FAVORED,UNLABELED
Aj_VMUSNjNM_2,0-2s,control,0,NEAR_GT_SCALE_LEAKAGE,strong hard peak is adjacent/moderately near or overlaps GT±2s,BLOCKED,QD_GT_FAVORED,UNLABELED
AtkD-3GjXMw_1,2-5s,harmful,0,UNRESOLVED,no independently supported mechanism label,BLOCKED,QD_GT_FAVORED,UNLABELED
Axd__X2rixk_1,2-5s,harmful,1,DECODER_ATTRACTION,full-access top-1 decoder reference moved closer to hard peak,BLOCKED,QD_TIE,UNLABELED
BA-lFjpzad4_1,2-5s,control,0,NEAR_GT_SCALE_LEAKAGE;SEMANTIC_COMPETITOR,strong hard peak is adjacent/moderately near or overlaps GT±2s; native MS-CLAP hard window scored above matched GT window,VALID,QD_GT_FAVORED,UNLABELED
BA-lFjpzad4_2,0-2s,harmful,0,NEAR_GT_SCALE_LEAKAGE;DECODER_ATTRACTION,strong hard peak is adjacent/moderately near or overlaps GT±2s; full-access top-1 decoder reference moved closer to hard peak,VALID,QD_GT_FAVORED,UNLABELED
BA-lFjpzad4_3,2-5s,control,0,NEAR_GT_SCALE_LEAKAGE;MODEL_SPECIFIC_FALSE_POSITIVE,"strong hard peak is adjacent/moderately near or overlaps GT±2s; native GT window scored above hard, while QD final center evidence favored hard",VALID,QD_HARD_FAVORED,UNLABELED
BA-lFjpzad4_4,2-5s,control,0,MODEL_SPECIFIC_FALSE_POSITIVE;DECODER_ATTRACTION,"native GT window scored above hard, while QD final center evidence favored hard; full-access top-1 decoder reference moved closer to hard peak",VALID,QD_HARD_FAVORED,UNLABELED
BDpU2Qh77NE_1,0-2s,harmful,1,DECODER_ATTRACTION,full-access top-1 decoder reference moved closer to hard peak,VALID,QD_TIE,UNLABELED
BDpU2Qh77NE_3,2-5s,control,0,UNRESOLVED,no independently supported mechanism label,VALID,QD_GT_FAVORED,UNLABELED
BL8ksJ0sTXk_3,0-2s,harmful,1,NEAR_GT_SCALE_LEAKAGE,strong hard peak is adjacent/moderately near or overlaps GT±2s,BLOCKED,QD_HARD_FAVORED,UNLABELED
BMayJId0X1s_1,2-5s,harmful,0,UNRESOLVED,no independently supported mechanism label,BLOCKED,QD_GT_FAVORED,UNLABELED
BUAPM4D3-h8_2,0-2s,control,1,DECODER_ATTRACTION,full-access top-1 decoder reference moved closer to hard peak,BLOCKED,QD_TIE,UNLABELED
Ba92IrXFvJo_1,2-5s,control,1,NEAR_GT_SCALE_LEAKAGE,strong hard peak is adjacent/moderately near or overlaps GT±2s,BLOCKED,QD_TIE,UNLABELED
Bvw2gv1fcZw_2,2-5s,control,0,DECODER_ATTRACTION,full-access top-1 decoder reference moved closer to hard peak,BLOCKED,QD_HARD_FAVORED,UNLABELED
BzHTqyX69pI_2,2-5s,control,1,DECODER_ATTRACTION,full-access top-1 decoder reference moved closer to hard peak,BLOCKED,QD_TIE,UNLABELED
C5kmOK_l4jc_1,0-2s,control,0,UNRESOLVED,no independently supported mechanism label,BLOCKED,QD_GT_FAVORED,UNLABELED
C8kR19NvynA_1,2-5s,control,0,NEAR_GT_SCALE_LEAKAGE,strong hard peak is adjacent/moderately near or overlaps GT±2s,BLOCKED,QD_GT_FAVORED,UNLABELED
CO6-i8NLbeo_1,2-5s,harmful,0,DECODER_ATTRACTION,full-access top-1 decoder reference moved closer to hard peak,BLOCKED,QD_HARD_FAVORED,UNLABELED
CO6-i8NLbeo_2,2-5s,control,0,NEAR_GT_SCALE_LEAKAGE,strong hard peak is adjacent/moderately near or overlaps GT±2s,BLOCKED,QD_GT_FAVORED,UNLABELED
Cbe2B6ohBpw_1,2-5s,control,0,NEAR_GT_SCALE_LEAKAGE,strong hard peak is adjacent/moderately near or overlaps GT±2s,BLOCKED,QD_TIE,UNLABELED
Cbe2B6ohBpw_2,2-5s,control,0,UNRESOLVED,no independently supported mechanism label,BLOCKED,QD_HARD_FAVORED,UNLABELED
CefFMA3klxk_1,0-2s,harmful,1,NEAR_GT_SCALE_LEAKAGE,strong hard peak is adjacent/moderately near or overlaps GT±2s,BLOCKED,QD_HARD_FAVORED,UNLABELED
CefFMA3klxk_3,2-5s,harmful,1,DECODER_ATTRACTION,full-access top-1 decoder reference moved closer to hard peak,BLOCKED,QD_GT_FAVORED,UNLABELED
CvNAwby6Xos_1,2-5s,harmful,1,UNRESOLVED,no independently supported mechanism label,BLOCKED,QD_TIE,UNLABELED
D2Xc_jZllDY_2,2-5s,control,0,UNRESOLVED,no independently supported mechanism label,BLOCKED,QD_GT_FAVORED,UNLABELED
Dc2WEiRk0rA_2,2-5s,control,0,UNRESOLVED,no independently supported mechanism label,VALID,QD_GT_FAVORED,UNLABELED
DjKGzOe_COc_1,2-5s,control,1,UNRESOLVED,no independently supported mechanism label,BLOCKED,QD_HARD_FAVORED,UNLABELED
Dn3buZWMzwY_1,2-5s,control,0,NEAR_GT_SCALE_LEAKAGE;MODEL_SPECIFIC_FALSE_POSITIVE;DECODER_ATTRACTION,"strong hard peak is adjacent/moderately near or overlaps GT±2s; native GT window scored above hard, while QD final center evidence favored hard; full-access top-1 decoder reference moved closer to hard peak",VALID,QD_HARD_FAVORED,UNLABELED
Dn3buZWMzwY_2,0-2s,control,0,UNRESOLVED,no independently supported mechanism label,VALID,QD_GT_FAVORED,UNLABELED
Dn3buZWMzwY_3,0-2s,control,0,NEAR_GT_SCALE_LEAKAGE;SEMANTIC_COMPETITOR,strong hard peak is adjacent/moderately near or overlaps GT±2s; native MS-CLAP hard window scored above matched GT window,VALID,QD_TIE,UNLABELED
Dn3buZWMzwY_4,2-5s,harmful,0,NEAR_GT_SCALE_LEAKAGE,strong hard peak is adjacent/moderately near or overlaps GT±2s,VALID,QD_GT_FAVORED,UNLABELED
E3D_z0aoUEg_4,2-5s,harmful,0,NEAR_GT_SCALE_LEAKAGE;DECODER_ATTRACTION,strong hard peak is adjacent/moderately near or overlaps GT±2s; full-access top-1 decoder reference moved closer to hard peak,BLOCKED,QD_HARD_FAVORED,UNLABELED
E3Q1jfTeuWs_1,2-5s,control,1,DECODER_ATTRACTION,full-access top-1 decoder reference moved closer to hard peak,BLOCKED,QD_HARD_FAVORED,UNLABELED
E3Q1jfTeuWs_2,2-5s,control,0,DECODER_ATTRACTION,full-access top-1 decoder reference moved closer to hard peak,BLOCKED,QD_HARD_FAVORED,UNLABELED
ECw5Yf7QoMo_3,2-5s,harmful,1,DECODER_ATTRACTION,full-access top-1 decoder reference moved closer to hard peak,BLOCKED,QD_TIE,UNLABELED
ESjMIqrvRj4_2,2-5s,control,0,NEAR_GT_SCALE_LEAKAGE,strong hard peak is adjacent/moderately near or overlaps GT±2s,BLOCKED,QD_GT_FAVORED,UNLABELED
ESjMIqrvRj4_5,0-2s,control,0,DECODER_ATTRACTION,full-access top-1 decoder reference moved closer to hard peak,BLOCKED,QD_GT_FAVORED,UNLABELED
EUZaxaWqhwg_1,2-5s,control,1,NEAR_GT_SCALE_LEAKAGE,strong hard peak is adjacent/moderately near or overlaps GT±2s,BLOCKED,QD_HARD_FAVORED,UNLABELED
EcihYbSlyck_3,2-5s,harmful,1,DECODER_ATTRACTION,full-access top-1 decoder reference moved closer to hard peak,BLOCKED,QD_TIE,UNLABELED
ErxgH5g3Kx0_1,0-2s,control,1,MODEL_SPECIFIC_FALSE_POSITIVE;DECODER_ATTRACTION,"native GT window scored above hard, while QD final center evidence favored hard; full-access top-1 decoder reference moved closer to hard peak",VALID,QD_HARD_FAVORED,UNLABELED
ErxgH5g3Kx0_2,2-5s,harmful,0,MODEL_SPECIFIC_FALSE_POSITIVE,"native GT window scored above hard, while QD final center evidence favored hard",VALID,QD_HARD_FAVORED,UNLABELED
EzWEO2WD_MM_1,2-5s,control,1,NEAR_GT_SCALE_LEAKAGE,strong hard peak is adjacent/moderately near or overlaps GT±2s,BLOCKED,QD_TIE,UNLABELED
EzWEO2WD_MM_2,2-5s,control,0,NEAR_GT_SCALE_LEAKAGE,strong hard peak is adjacent/moderately near or overlaps GT±2s,BLOCKED,QD_GT_FAVORED,UNLABELED
FDwK7T1JO_0_2,2-5s,control,0,UNRESOLVED,no independently supported mechanism label,BLOCKED,QD_GT_FAVORED,UNLABELED
FR7BDRhMATo_2,2-5s,control,1,DECODER_ATTRACTION,full-access top-1 decoder reference moved closer to hard peak,BLOCKED,QD_HARD_FAVORED,UNLABELED
FXdoNvmrYxo_2,2-5s,harmful,0,NEAR_GT_SCALE_LEAKAGE,strong hard peak is adjacent/moderately near or overlaps GT±2s,BLOCKED,QD_GT_FAVORED,UNLABELED
Flk-X0gwjF4_1,2-5s,control,1,DECODER_ATTRACTION,full-access top-1 decoder reference moved closer to hard peak,BLOCKED,QD_TIE,UNLABELED
G3YO2unWz7k_1,0-2s,control,1,DECODER_ATTRACTION,full-access top-1 decoder reference moved closer to hard peak,BLOCKED,QD_TIE,UNLABELED
GGgQR7aIofY_1,2-5s,control,0,UNRESOLVED,no independently supported mechanism label,VALID,QD_GT_FAVORED,UNLABELED
GGgQR7aIofY_3,2-5s,harmful,1,MODEL_SPECIFIC_FALSE_POSITIVE,"native GT window scored above hard, while QD final center evidence favored hard",VALID,QD_HARD_FAVORED,UNLABELED
GOD8Bt5LfDE_2,2-5s,harmful,1,DECODER_ATTRACTION,full-access top-1 decoder reference moved closer to hard peak,BLOCKED,QD_TIE,UNLABELED
GOD8Bt5LfDE_3,2-5s,control,1,UNRESOLVED,no independently supported mechanism label,BLOCKED,QD_HARD_FAVORED,UNLABELED
Gkb4f6yodPE_2,2-5s,harmful,1,DECODER_ATTRACTION,full-access top-1 decoder reference moved closer to hard peak,BLOCKED,QD_HARD_FAVORED,UNLABELED
H7-orYrKBeo_1,2-5s,control,1,NEAR_GT_SCALE_LEAKAGE;DECODER_ATTRACTION,strong hard peak is adjacent/moderately near or overlaps GT±2s; full-access top-1 decoder reference moved closer to hard peak,BLOCKED,QD_HARD_FAVORED,UNLABELED
H7rd9bZtbgc_1,2-5s,control,1,NEAR_GT_SCALE_LEAKAGE,strong hard peak is adjacent/moderately near or overlaps GT±2s,VALID,QD_TIE,UNLABELED
H7rd9bZtbgc_2,0-2s,control,1,UNRESOLVED,no independently supported mechanism label,VALID,QD_TIE,UNLABELED
HVz-FJBf_iM_1,0-2s,control,0,NEAR_GT_SCALE_LEAKAGE,strong hard peak is adjacent/moderately near or overlaps GT±2s,VALID,QD_GT_FAVORED,UNLABELED
HdPSebdDxe4_1,2-5s,control,0,NEAR_GT_SCALE_LEAKAGE,strong hard peak is adjacent/moderately near or overlaps GT±2s,BLOCKED,QD_GT_FAVORED,UNLABELED
