qid,vid,duration_bin,gt_duration_sec,audio_duration_sec,hard_center_hit10_2s,random25_center_hit10_2s_mean,hard_minus_random_center,cohort,p3_location_failure,query_conditioned_memory_score_status,query_conditioned_memory_score_reason,full_best_gt_center_rank,full_best_hard_center_rank,full_gt_center_density_top10,full_hard_center_density_top10,full_top1_center_sec,full_top1_width_gt_ratio,hard25_best_gt_center_rank,hard25_best_hard_center_rank,hard25_gt_center_density_top10,hard25_hard_center_density_top10,hard25_top1_center_sec,hard25_top1_width_gt_ratio,full_attn_l0_total,full_attn_l0_gt_mass,full_attn_l0_hard_peak_mass,full_attn_l0_other_mass,full_attn_l1_total,full_attn_l1_gt_mass,full_attn_l1_hard_peak_mass,full_attn_l1_other_mass,hard25_attn_l0_total,hard25_attn_l0_gt_mass,hard25_attn_l0_hard_peak_mass,hard25_attn_l0_other_mass,hard25_attn_l1_total,hard25_attn_l1_gt_mass,hard25_attn_l1_hard_peak_mass,hard25_attn_l1_other_mass
-nQHwrRLfc0_2,-nQHwrRLfc0,0-2s,1.0,165.0,0.0,0.7,-0.7,harmful,0,BLOCKED,No official common QD query-memory score; stored 768-D audio/text features are not compared.,6,1,1,1,4.5,7.0,11,1,0,1,5.5,9.0,1.0,0.040675610303878784,0.16832779347896576,0.7909966111183167,1.0,0.021222446113824844,0.5863136053085327,0.3924638628959656,1.0,0.04170659929513931,0.18671914935112,0.7715742588043213,1.0,0.028353340923786163,0.548585057258606,0.4230616092681885
-oy0BkpMGAk_1,-oy0BkpMGAk,2-5s,4.0,80.0,1.0,1.0,0.0,control,0,BLOCKED,No official common QD query-memory score; stored 768-D audio/text features are not compared.,1,11,1,0,15.0,1.0,2,1,1,1,9.0,2.0,1.0,0.04260203614830971,0.09485191106796265,0.8625460863113403,0.9999999403953552,0.19029715657234192,0.27746739983558655,0.5322354435920715,1.0,0.1246708333492279,0.28245633840560913,0.5928727984428406,1.0,0.13426010310649872,0.3724129796028137,0.49332693219184875
-oy0BkpMGAk_3,-oy0BkpMGAk,2-5s,2.0,80.0,0.0,0.0,0.0,control,1,BLOCKED,No official common QD query-memory score; stored 768-D audio/text features are not compared.,11,7,0,1,71.5,1.5,11,6,0,1,56.0,0.0,1.0,0.03219617158174515,0.01880733296275139,0.9489965438842773,0.9999999403953552,0.038706324994564056,0.06411460787057877,0.8971790671348572,1.0,0.2285468578338623,0.20777615904808044,0.5636770129203796,1.0,0.0024920871946960688,0.16961050033569336,0.8278974294662476
096oTVzc5Gs_4,096oTVzc5Gs,0-2s,1.0,129.0,0.0,0.0,0.0,control,0,BLOCKED,No official common QD query-memory score; stored 768-D audio/text features are not compared.,7,1,1,2,2.0,4.0,11,1,0,2,2.5,5.0,1.0,0.002316246507689357,0.26950106024742126,0.7281826734542847,1.0,0.0021419727709144354,0.5657353401184082,0.43212276697158813,1.0,0.022951407358050346,0.3333088457584381,0.6437397599220276,1.0,0.011316651478409767,0.5752518177032471,0.4134315252304077
0AsXkZkqelg_1,0AsXkZkqelg,2-5s,4.0,172.0,0.0,0.8,-0.8,harmful,0,BLOCKED,No official common QD query-memory score; stored 768-D audio/text features are not compared.,1,11,1,0,4.0,2.0,11,11,0,0,9.0,4.5,1.0,0.07032626867294312,0.2930300831794739,0.636643648147583,0.9999999403953552,0.3766101598739624,0.24989889562129974,0.37349092960357666,1.0,0.07081092894077301,0.3083440661430359,0.6208450198173523,0.9999999403953552,0.2390829175710678,0.46941256523132324,0.29150447249412537
0AsXkZkqelg_2,0AsXkZkqelg,2-5s,3.0,172.0,1.0,1.0,0.0,control,0,BLOCKED,No official common QD query-memory score; stored 768-D audio/text features are not compared.,1,11,2,0,14.0,3.3333333333333335,4,11,1,0,158.0,2.6666666666666665,1.0,0.10611921548843384,0.0850052610039711,0.808875560760498,1.0000001192092896,0.06646376103162766,0.15122517943382263,0.7823110818862915,1.0,0.20133420825004578,0.5778934359550476,0.22077229619026184,1.0,0.07421556860208511,0.40159446001052856,0.5241899490356445
0_K6OKtoBBU_1,0_K6OKtoBBU,2-5s,2.0,61.0,1.0,1.0,0.0,control,0,BLOCKED,No official common QD query-memory score; stored 768-D audio/text features are not compared.,1,4,4,1,6.5,1.5,1,11,2,0,7.5,2.5,1.0,0.24414654076099396,0.0006316759390756488,0.7552217841148376,1.0,0.16295960545539856,0.0223916657269001,0.8146486878395081,1.0,0.5835205316543579,0.007207668386399746,0.40927183628082275,1.0,0.4229128360748291,0.018083671107888222,0.559003472328186
0_K6OKtoBBU_3,0_K6OKtoBBU,2-5s,2.0,61.0,1.0,1.0,0.0,control,0,BLOCKED,No official common QD query-memory score; stored 768-D audio/text features are not compared.,1,2,3,2,22.5,1.5,1,5,3,1,22.5,0.5,1.0,0.10073600709438324,0.04802156239748001,0.8512424230575562,1.0,0.2507248520851135,0.20469963550567627,0.5445754528045654,1.0,0.3581607937812805,0.0874100923538208,0.5544291138648987,1.0,0.36653512716293335,0.2107054740190506,0.42275941371917725
0a9wVat2PWk_2,0a9wVat2PWk,2-5s,4.0,300.0,0.0,0.5,-0.5,harmful,1,BLOCKED,No official common QD query-memory score; stored 768-D audio/text features are not compared.,5,1,1,2,111.0,2.5,11,11,0,0,120.0,4.0,1.0,0.1331450343132019,0.056520625948905945,0.810334324836731,1.0,0.024434208869934082,0.21815365552902222,0.7574121952056885,1.0,0.1816905289888382,0.06553591042757034,0.7527735829353333,1.0,0.03137504309415817,0.20697766542434692,0.7616473436355591
0a9wVat2PWk_3,0a9wVat2PWk,2-5s,3.0,300.0,1.0,1.0,0.0,control,0,BLOCKED,No official common QD query-memory score; stored 768-D audio/text features are not compared.,1,11,4,0,111.5,3.0,11,11,0,0,142.5,9.0,1.0,0.2335941195487976,0.13860401511192322,0.6278018951416016,1.0,0.36466944217681885,0.01626652665436268,0.6190640330314636,1.0,0.49634984135627747,0.15185169875621796,0.35179847478866577,0.9999998807907104,0.8074324131011963,0.013004071079194546,0.1795634925365448
0a9wVat2PWk_4,0a9wVat2PWk,2-5s,4.0,300.0,0.0,0.6,-0.6,harmful,0,BLOCKED,No official common QD query-memory score; stored 768-D audio/text features are not compared.,11,1,0,1,112.5,2.75,11,3,0,1,146.0,5.0,0.9999999403953552,0.004060553386807442,0.06098078563809395,0.9349586963653564,1.0,0.003697405569255352,0.19533070921897888,0.8009719252586365,1.0,0.0641455128788948,0.07194516062736511,0.8639093041419983,1.0,0.026642363518476486,0.2706330418586731,0.7027245759963989
0fMXnvD38zI_1,0fMXnvD38zI,2-5s,2.0,300.0,0.0,0.0,0.0,control,1,BLOCKED,No official common QD query-memory score; stored 768-D audio/text features are not compared.,11,11,0,0,22.0,7.0,11,11,0,0,31.5,10.5,1.0,0.02009681612253189,0.020885489881038666,0.9590177536010742,1.0,0.03020467981696129,0.0014290371909737587,0.968366265296936,1.0,0.06839879602193832,0.05855512619018555,0.8730461001396179,1.0,0.10421764105558395,0.0017855872865766287,0.8939967751502991
0yETgW44MZU_2,0yETgW44MZU,2-5s,4.0,90.0,1.0,0.7,0.30000000000000004,control,1,BLOCKED,No official common QD query-memory score; stored 768-D audio/text features are not compared.,11,2,0,1,24.5,4.75,6,11,2,0,14.0,4.0,1.0,0.08003195375204086,0.08148755878210068,0.8384804725646973,1.0,0.0703064501285553,0.09288216382265091,0.836811363697052,1.0,0.6205629110336304,0.19555237889289856,0.1838846504688263,1.0,0.3402528762817383,0.31486400961875916,0.3448830842971802
14izd_i3ryE_3,14izd_i3ryE,2-5s,2.0,299.0,0.0,0.4,-0.4,harmful,1,BLOCKED,No official common QD query-memory score; stored 768-D audio/text features are not compared.,5,1,1,1,46.5,6.5,6,11,1,0,51.5,8.5,0.9999999403953552,0.024062898010015488,0.05522884801030159,0.9207082986831665,1.0,0.0025790734216570854,0.18596471846103668,0.8114562630653381,1.0,0.10617890954017639,0.1103527769446373,0.7834683060646057,1.0,0.014253566041588783,0.21313245594501495,0.7726139426231384
1FNJbN-eHY4_1,1FNJbN-eHY4,2-5s,4.0,177.0,0.0,0.7,-0.7,harmful,1,BLOCKED,No official common QD query-memory score; stored 768-D audio/text features are not compared.,11,11,0,0,6.5,1.75,11,11,0,0,7.5,2.25,1.0,0.030037259683012962,0.3564380705356598,0.6135246753692627,1.0,0.033439841121435165,0.6257323622703552,0.34082773327827454,1.0,0.45335668325424194,0.37050148844718933,0.17614182829856873,0.9999999403953552,0.32924884557724,0.6284297704696655,0.04232143983244896
1GgEpRZDWN0_1,1GgEpRZDWN0,2-5s,2.0,300.0,0.0,0.6,-0.6,harmful,1,BLOCKED,No official common QD query-memory score; stored 768-D audio/text features are not compared.,11,11,0,0,18.0,5.0,11,11,0,0,250.5,13.5,1.0,0.023097768425941467,0.041321516036987305,0.9355807304382324,0.9999999403953552,0.06892161071300507,0.07445405423641205,0.8566243052482605,1.0,0.02769153192639351,0.06389755755662918,0.908410906791687,1.0,0.07143305987119675,0.08748048543930054,0.8410864472389221
1IoHRTUp86c_3,1IoHRTUp86c,2-5s,2.0,226.0,1.0,0.5,0.5,control,1,BLOCKED,No official common QD query-memory score; stored 768-D audio/text features are not compared.,8,11,1,0,191.5,9.5,1,11,2,0,70.5,9.5,1.0,0.010054155252873898,0.045690763741731644,0.9442550539970398,0.9999999403953552,0.0023803305812180042,0.006456405855715275,0.9911632537841797,1.0000001192092896,0.015431016683578491,0.0670369490981102,0.9175320267677307,1.0,0.007952086627483368,0.03534570708870888,0.9567022323608398
1Og2TJ3bXW0_1,1Og2TJ3bXW0,2-5s,2.0,300.0,0.0,0.0,0.0,control,1,BLOCKED,No official common QD query-memory score; stored 768-D audio/text features are not compared.,11,11,0,0,73.5,4.5,11,11,0,0,202.0,34.0,1.0,0.006914351601153612,0.10769405961036682,0.8853916525840759,1.0,0.007570486981421709,0.512930691242218,0.47949880361557007,1.0,0.016318220645189285,0.33113718032836914,0.6525444984436035,1.0,0.009981399402022362,0.2958643436431885,0.6941542625427246
1Og2TJ3bXW0_2,1Og2TJ3bXW0,2-5s,3.0,300.0,0.0,0.2,-0.2,harmful,1,BLOCKED,No official common QD query-memory score; stored 768-D audio/text features are not compared.,11,1,0,1,73.5,1.6666666666666667,11,11,0,0,142.0,14.666666666666666,1.0,0.00912492722272873,0.08335225284099579,0.9075227975845337,1.0,0.0194060318171978,0.32228270173072815,0.6583111882209778,1.0,0.030025528743863106,0.2015824317932129,0.7683919668197632,1.0,0.008394811302423477,0.17188726365566254,0.8197179436683655
1Og2TJ3bXW0_4,1Og2TJ3bXW0,2-5s,2.0,300.0,1.0,1.0,0.0,control,0,BLOCKED,No official common QD query-memory score; stored 768-D audio/text features are not compared.,2,11,2,0,72.5,3.5,2,9,1,1,168.5,5.5,1.0,0.022760847583413124,0.08985654264688492,0.8873826265335083,1.0,0.0012949082301929593,0.45869895815849304,0.5400061011314392,1.0,0.4782680869102478,0.18925824761390686,0.33247363567352295,1.0,0.13138744235038757,0.480771541595459,0.38784101605415344
1WTSW96XP6E_2,1WTSW96XP6E,2-5s,2.0,300.0,0.0,0.1,-0.1,harmful,1,BLOCKED,No official common QD query-memory score; stored 768-D audio/text features are not compared.,11,2,0,1,196.0,5.0,11,11,0,0,124.5,4.5,1.0,0.0009646237012930214,0.0007847631350159645,0.9982506036758423,1.0,0.004821018315851688,0.005778005346655846,0.9894010424613953,1.0,0.0025400728918612003,0.003058101050555706,0.9944018125534058,1.0,0.0025721313431859016,0.010770300403237343,0.9866575598716736
1slvoNgzBLE_2,1slvoNgzBLE,2-5s,3.0,299.0,1.0,1.0,0.0,control,0,BLOCKED,No official common QD query-memory score; stored 768-D audio/text features are not compared.,1,11,4,0,39.5,7.666666666666667,1,11,3,0,77.5,6.333333333333333,1.0,0.15787208080291748,0.01920805498957634,0.8229198455810547,1.0,0.16816271841526031,0.07581157237291336,0.7560257315635681,1.0,0.3284701108932495,0.02855178341269493,0.6429781913757324,1.0,0.2864502966403961,0.10281183570623398,0.6107379198074341
1slvoNgzBLE_4,1slvoNgzBLE,2-5s,3.0,299.0,1.0,0.6,0.4,control,1,BLOCKED,No official common QD query-memory score; stored 768-D audio/text features are not compared.,11,11,0,0,99.0,4.666666666666667,7,1,1,1,93.5,5.0,1.0,0.10249937325716019,0.012861941941082478,0.8846386671066284,1.0,0.054557058960199356,0.04657553508877754,0.8988673686981201,1.0,0.2744383215904236,0.01855941116809845,0.7070022821426392,1.0,0.11472949385643005,0.09761218726634979,0.7876583337783813
1vCYiVvZ7VE_1,1vCYiVvZ7VE,2-5s,3.0,296.0,1.0,0.5,0.5,control,1,BLOCKED,No official common QD query-memory score; stored 768-D audio/text features are not compared.,11,1,0,1,188.0,3.3333333333333335,10,1,1,1,188.5,2.3333333333333335,1.0000001192092896,0.02826346829533577,0.0182352215051651,0.9535013437271118,0.9999999403953552,0.0347086638212204,0.10563939064741135,0.8596519231796265,1.0,0.12683698534965515,0.026583677157759666,0.846579372882843,1.0,0.16932342946529388,0.13534501194953918,0.6953315734863281
1vCYiVvZ7VE_2,1vCYiVvZ7VE,2-5s,2.0,296.0,1.0,0.7,0.30000000000000004,control,0,BLOCKED,No official common QD query-memory score; stored 768-D audio/text features are not compared.,1,11,1,0,189.0,4.0,2,11,1,0,251.5,4.5,0.9999999403953552,0.03798998147249222,0.0013636198127642274,0.960646390914917,1.0,0.1446748971939087,0.03602143004536629,0.8193036317825317,1.0,0.0871887058019638,0.0031767883338034153,0.9096344709396362,0.9999999403953552,0.20550991594791412,0.03395048901438713,0.7605395317077637
27HIamF8pKo_1,27HIamF8pKo,2-5s,3.0,140.0,1.0,1.0,0.0,control,0,BLOCKED,No official common QD query-memory score; stored 768-D audio/text features are not compared.,1,11,4,0,118.0,1.3333333333333333,1,11,6,0,118.5,1.0,1.0,0.15673966705799103,0.10475270450115204,0.7385076284408569,1.0,0.334882527589798,0.023943137377500534,0.64117431640625,1.0,0.3863682150840759,0.2093965709209442,0.40423524379730225,1.0,0.5951352119445801,0.07718754559755325,0.32767727971076965
27HIamF8pKo_3,27HIamF8pKo,0-2s,1.0,140.0,0.0,0.7,-0.7,harmful,0,BLOCKED,No official common QD query-memory score; stored 768-D audio/text features are not compared.,1,11,1,0,126.5,13.0,11,11,0,0,93.0,4.0,1.0,0.007071952801197767,0.26998627185821533,0.7229417562484741,1.0,0.02458352968096733,0.12315976619720459,0.852256715297699,1.0,0.12703125178813934,0.4690432846546173,0.40392550826072693,0.9999999403953552,0.13222870230674744,0.35370370745658875,0.514067530632019
2JutOgAnqWA_2,2JutOgAnqWA,2-5s,4.0,214.0,0.0,0.0,0.0,control,1,BLOCKED,No official common QD query-memory score; stored 768-D audio/text features are not compared.,11,1,0,2,59.0,5.0,11,11,0,0,71.0,11.5,0.9999999403953552,0.00922917015850544,0.05274420231580734,0.9380266666412354,1.0,0.043616317212581635,0.14019891619682312,0.8161847591400146,1.0,0.11676830053329468,0.1393035352230072,0.7439281940460205,1.0,0.2281075417995453,0.2460801601409912,0.5258122682571411
2KEfkDO6hlA_1,2KEfkDO6hlA,2-5s,3.0,233.0,1.0,0.5,0.5,control,1,BLOCKED,No official common QD query-memory score; stored 768-D audio/text features are not compared.,11,4,0,1,16.5,2.3333333333333335,2,11,1,0,171.5,3.0,1.0,0.03972037881612778,0.13986113667488098,0.8204184770584106,1.0,0.050963860005140305,0.045518044382333755,0.9035180807113647,1.0,0.0417836531996727,0.16229841113090515,0.7959179878234863,1.0,0.07454938441514969,0.07479275017976761,0.8506578803062439
2KR0C5ysO8o_1,2KR0C5ysO8o,2-5s,4.0,137.0,1.0,1.0,0.0,control,0,BLOCKED,No official common QD query-memory score; stored 768-D audio/text features are not compared.,1,3,4,1,65.0,1.5,1,11,4,0,60.0,2.5,1.0,0.2039320468902588,0.011205941438674927,0.7848620414733887,1.0,0.34526923298835754,0.06061239168047905,0.5941183567047119,1.0,0.3742861747741699,0.03789052367210388,0.5878232717514038,1.0,0.5586048364639282,0.02167617529630661,0.41971898078918457
2KR0C5ysO8o_2,2KR0C5ysO8o,2-5s,2.0,137.0,1.0,0.8,0.19999999999999996,control,0,BLOCKED,No official common QD query-memory score; stored 768-D audio/text features are not compared.,3,8,1,1,65.5,2.5,7,11,1,0,27.0,6.0,1.0000001192092896,0.029527628794312477,0.11455507576465607,0.8559172749519348,1.0,0.013759045861661434,0.10286559909582138,0.8833752870559692,1.0,0.07302917540073395,0.23458272218704224,0.692388117313385,1.0,0.12795455753803253,0.20961293578147888,0.6624325513839722
2RjqBRzmxaM_3,2RjqBRzmxaM,2-5s,2.0,122.0,1.0,0.8,0.19999999999999996,control,1,BLOCKED,No official common QD query-memory score; stored 768-D audio/text features are not compared.,11,11,0,0,66.5,2.5,6,11,1,0,94.0,19.0,1.0,0.01124807633459568,0.6251936554908752,0.36355823278427124,1.0,0.04138084501028061,0.12633566558361053,0.8322835564613342,1.0,0.018583176657557487,0.634608268737793,0.3468084931373596,1.0,0.0794922336935997,0.17063717544078827,0.7498705983161926
2RjqBRzmxaM_4,2RjqBRzmxaM,2-5s,4.0,122.0,1.0,0.9,0.09999999999999998,control,0,BLOCKED,No official common QD query-memory score; stored 768-D audio/text features are not compared.,2,1,1,1,106.5,1.25,1,2,1,1,113.0,1.0,1.0,0.09429685771465302,0.0824672281742096,0.8232359290122986,1.0,0.019905339926481247,0.3163754642009735,0.6637191772460938,1.0,0.11895697563886642,0.11163744330406189,0.7694056034088135,1.0,0.016531284898519516,0.3389567732810974,0.644511878490448
2RjqBRzmxaM_5,2RjqBRzmxaM,2-5s,2.0,122.0,1.0,1.0,0.0,control,0,BLOCKED,No official common QD query-memory score; stored 768-D audio/text features are not compared.,8,1,1,1,26.5,12.5,2,11,1,0,17.0,13.0,1.0,0.01995868608355522,0.1380014568567276,0.8420398831367493,1.0,0.014839936047792435,0.33981528878211975,0.6453447341918945,1.0,0.49568700790405273,0.41045063734054565,0.09386240690946579,1.0,0.27370476722717285,0.5989977717399597,0.12729747593402863
2a6GNu6uCDE_3,2a6GNu6uCDE,2-5s,3.0,299.0,1.0,0.9,0.09999999999999998,control,0,BLOCKED,No official common QD query-memory score; stored 768-D audio/text features are not compared.,1,3,1,1,178.0,3.3333333333333335,1,2,1,1,179.5,3.0,1.0,0.0321238711476326,0.0013996300986036658,0.966476559638977,1.0,0.0707223117351532,0.010170596651732922,0.9191070795059204,1.0,0.04004606604576111,0.005743475630879402,0.9542104601860046,1.0,0.08674083650112152,0.03575673699378967,0.87750244140625
3RultJjvTWI_2,3RultJjvTWI,0-2s,1.0,299.0,0.0,0.1,-0.1,harmful,1,BLOCKED,No official common QD query-memory score; stored 768-D audio/text features are not compared.,11,1,0,1,8.0,10.0,11,11,0,0,11.0,14.0,0.9999998807907104,0.007063433527946472,0.1922098696231842,0.8007266521453857,1.0,0.004595012869685888,0.31908878684043884,0.6763162016868591,1.0,0.03271802142262459,0.2650699317455292,0.7022120356559753,1.0,0.00738802133128047,0.3974631726741791,0.5951488614082336
3VHpLxtd498_1,3VHpLxtd498,0-2s,1.0,242.0,0.0,0.0,0.0,control,1,BLOCKED,No official common QD query-memory score; stored 768-D audio/text features are not compared.,11,11,0,0,146.0,14.0,11,11,0,0,195.0,32.0,1.0,0.04048081487417221,0.0016910381382331252,0.957828164100647,0.9999999403953552,0.004928074777126312,0.0498153418302536,0.9452565908432007,0.9999999403953552,0.06430762261152267,0.0024889346677809954,0.9332034587860107,0.9999999403953552,0.016039976850152016,0.01701309345662594,0.9669468998908997
3VHpLxtd498_3,3VHpLxtd498,0-2s,1.0,242.0,0.0,0.3,-0.3,harmful,1,BLOCKED,No official common QD query-memory score; stored 768-D audio/text features are not compared.,11,2,0,1,143.0,12.0,11,11,0,0,102.5,11.0,0.9999999403953552,7.265135081979679e-06,2.548460088291904e-06,0.9999901652336121,0.9999999403953552,0.010859404690563679,0.037559278309345245,0.9515812993049622,1.0,0.0004493725427892059,4.378486846690066e-05,0.9995068311691284,1.0,0.029974941164255142,0.039068661630153656,0.9309563636779785
3VHpLxtd498_4,3VHpLxtd498,2-5s,3.0,242.0,0.0,0.6,-0.6,harmful,0,BLOCKED,No official common QD query-memory score; stored 768-D audio/text features are not compared.,11,11,0,0,142.0,5.333333333333333,10,11,1,0,142.0,4.666666666666667,1.0,0.0028118728660047054,9.026017323776614e-06,0.9971790909767151,1.0,0.02397756651043892,0.040205445140600204,0.9358169436454773,1.0,0.048236798495054245,0.00015025417087599635,0.9516128897666931,1.0,0.08974537998437881,0.04231485351920128,0.8679397702217102
3qTL7QRk-tg_4,3qTL7QRk-tg,2-5s,3.0,189.0,1.0,1.0,0.0,control,0,BLOCKED,No official common QD query-memory score; stored 768-D audio/text features are not compared.,1,11,2,0,118.0,3.3333333333333335,1,11,2,0,118.0,3.3333333333333335,1.0,0.014496085233986378,0.006711096037179232,0.9787928462028503,1.0,0.03538941591978073,0.1220843642950058,0.8425261974334717,1.0000001192092896,0.11872278898954391,0.04103490710258484,0.8402423858642578,1.0,0.1927315592765808,0.2115563154220581,0.5957121253013611
3rna9zo5ZOs_2,3rna9zo5ZOs,2-5s,3.0,68.0,1.0,1.0,0.0,control,0,BLOCKED,No official common QD query-memory score; stored 768-D audio/text features are not compared.,1,5,6,1,54.0,0.6666666666666666,2,4,4,1,57.5,1.0,1.0,0.17954833805561066,0.14538294076919556,0.6750686764717102,1.0,0.16226831078529358,0.2012404501438141,0.6364912986755371,1.0,0.2520650029182434,0.2520137131214142,0.4959212839603424,1.0,0.2737364172935486,0.08811166882514954,0.6381519436836243
